id,age,c_charge_degree,race,age_cat,score_text,sex,priors_count,days_b_screening_arrest,decile_score,is_recid,two_year_recid,label
208,44,M,Caucasian,25 - 45,Low,Male,2,0.0,2,1,1,1
210,32,F,African-American,25 - 45,Medium,Male,3,-1.0,7,1,1,1
213,31,M,Caucasian,25 - 45,Low,Male,2,-16.0,3,1,1,1
215,31,M,African-American,25 - 45,Low,Male,1,-1.0,2,1,0,0
216,59,F,Caucasian,Greater than 45,Low,Male,1,-1.0,2,1,1,1
220,20,F,African-American,Less than 25,High,Female,1,0.0,10,0,0,0
222,43,M,Caucasian,25 - 45,Low,Female,0,0.0,1,0,0,0
223,38,F,African-American,25 - 45,High,Male,9,-1.0,8,1,1,1
224,32,F,African-American,25 - 45,Medium,Male,11,-2.0,6,1,1,1
225,33,M,African-American,25 - 45,Medium,Male,8,-1.0,5,1,1,1
227,31,F,African-American,25 - 45,Low,Female,0,-1.0,3,1,1,1
228,33,F,African-American,25 - 45,High,Female,7,-1.0,9,1,1,1
229,27,F,African-American,25 - 45,High,Male,2,-1.0,9,1,1,1
231,20,F,African-American,Less than 25,Medium,Female,0,0.0,6,0,0,0
232,26,M,Caucasian,25 - 45,Medium,Female,0,-2.0,6,0,0,0
234,61,F,African-American,Greater than 45,Low,Female,1,-1.0,1,1,1,1
235,52,F,Other,Greater than 45,Medium,Male,13,-1.0,7,1,1,1
236,63,F,Hispanic,Greater than 45,Low,Male,1,-26.0,1,0,0,0
238,32,F,African-American,25 - 45,High,Female,4,-7.0,10,1,1,1
239,29,F,Hispanic,25 - 45,Low,Male,1,-1.0,4,0,0,0
241,26,M,African-American,25 - 45,Low,Female,2,-1.0,4,1,1,1
243,39,M,Caucasian,25 - 45,Low,Male,1,-1.0,4,0,0,0
244,30,F,Caucasian,25 - 45,Medium,Female,3,0.0,7,1,1,1
245,30,F,African-American,25 - 45,Medium,Male,1,0.0,7,0,0,0
246,48,M,Caucasian,Greater than 45,Low,Male,2,-1.0,2,0,0,0
248,22,F,African-American,Less than 25,Low,Male,1,-1.0,2,0,0,0
249,46,F,Caucasian,Greater than 45,Low,Male,6,22.0,1,1,1,1
252,31,F,Caucasian,25 - 45,Medium,Male,0,0.0,5,0,0,0
254,25,M,African-American,25 - 45,Low,Male,1,-1.0,2,1,1,1
257,23,F,Hispanic,Less than 25,Low,Male,0,-1.0,3,0,0,0
258,32,F,African-American,25 - 45,Medium,Female,5,-1.0,7,0,0,0
259,52,M,Hispanic,Greater than 45,Low,Male,2,-1.0,1,0,0,0
260,62,F,African-American,Greater than 45,Low,Male,8,0.0,4,0,0,0
264,31,F,Hispanic,25 - 45,High,Male,8,29.0,9,1,1,1
265,28,M,African-American,25 - 45,Medium,Male,6,-1.0,6,1,1,1
266,54,F,Hispanic,Greater than 45,Low,Male,2,-1.0,1,0,0,0
267,58,F,Hispanic,Greater than 45,Low,Male,0,-1.0,2,0,0,0
268,78,M,Caucasian,Greater than 45,Low,Male,1,-1.0,1,1,1,1
269,56,F,Caucasian,Greater than 45,Low,Male,0,-1.0,1,0,0,0
271,24,F,Other,Less than 25,Low,Male,0,-1.0,2,0,0,0
275,22,F,African-American,Less than 25,Medium,Male,1,0.0,5,1,1,1
277,47,M,African-American,Greater than 45,High,Male,23,-1.0,8,1,1,1
278,23,M,African-American,Less than 25,Low,Male,0,-1.0,2,1,1,1
279,57,F,Hispanic,Greater than 45,Low,Male,1,0.0,1,0,0,0
281,66,F,African-American,Greater than 45,Low,Male,3,-10.0,1,1,0,0
282,45,M,Caucasian,Greater than 45,Low,Male,8,0.0,4,1,1,1
287,37,M,African-American,25 - 45,High,Male,2,0.0,9,1,1,1
288,39,F,Caucasian,25 - 45,Low,Male,0,0.0,4,1,1,1
289,26,F,African-American,25 - 45,High,Male,9,0.0,9,1,1,1
291,45,F,Caucasian,Greater than 45,Low,Male,2,-1.0,3,0,0,0
293,23,F,African-American,Less than 25,Low,Male,0,-1.0,3,1,1,1
294,34,M,African-American,25 - 45,Low,Male,2,0.0,2,1,0,0
297,23,M,African-American,Less than 25,Low,Female,1,-1.0,4,0,0,0
298,36,M,Other,25 - 45,Low,Male,2,-1.0,3,1,1,1
299,50,F,Caucasian,Greater than 45,Low,Male,1,-4.0,1,0,0,0
300,37,M,Caucasian,25 - 45,Low,Female,0,-1.0,3,0,0,0
301,44,M,Caucasian,25 - 45,Low,Male,4,0.0,4,0,0,0
302,35,F,African-American,25 - 45,High,Female,23,-1.0,9,1,1,1
304,24,F,Other,Less than 25,Medium,Male,5,-1.0,5,1,1,1
306,26,F,African-American,25 - 45,High,Male,2,-1.0,10,1,1,1
308,27,M,African-American,25 - 45,Low,Male,0,-1.0,2,0,0,0
310,28,F,African-American,25 - 45,High,Female,0,0.0,8,0,0,0
313,28,F,Caucasian,25 - 45,High,Female,7,-1.0,9,1,1,1
315,38,F,African-American,25 - 45,Low,Male,2,-1.0,1,0,0,0
317,28,F,African-American,25 - 45,High,Female,1,-1.0,9,0,0,0
319,56,F,Caucasian,Greater than 45,Low,Male,7,-1.0,1,1,1,1
320,38,F,African-American,25 - 45,High,Male,15,-1.0,9,0,0,0
321,28,M,African-American,25 - 45,Medium,Male,2,-1.0,5,0,0,0
326,51,M,Caucasian,Greater than 45,Low,Female,0,-1.0,1,1,1,1
327,51,M,Caucasian,Greater than 45,Low,Male,0,-1.0,2,0,0,0
329,36,M,Other,25 - 45,Low,Male,1,-1.0,1,1,1,1
330,48,F,African-American,Greater than 45,Low,Male,0,-1.0,1,0,0,0
331,37,F,Caucasian,25 - 45,Low,Male,4,0.0,3,1,1,1
332,30,F,African-American,25 - 45,Medium,Female,2,-1.0,7,0,0,0
333,41,M,African-American,25 - 45,Medium,Female,5,0.0,6,0,0,0
334,27,F,African-American,25 - 45,High,Male,11,-1.0,10,1,1,1
335,37,M,African-American,25 - 45,Low,Male,0,-1.0,1,1,0,0
336,33,F,Other,25 - 45,Low,Male,4,0.0,4,1,1,1
337,54,F,African-American,Greater than 45,High,Male,11,-1.0,9,0,0,0
338,23,F,African-American,Less than 25,High,Male,2,-1.0,9,0,0,0
344,41,M,African-American,25 - 45,Low,Male,0,0.0,1,0,0,0
345,52,F,Caucasian,Greater than 45,Low,Male,0,-1.0,1,0,0,0
347,43,F,Caucasian,25 - 45,Low,Male,13,0.0,4,1,1,1
348,52,F,African-American,Greater than 45,Low,Male,0,-1.0,4,0,0,0
349,28,F,Caucasian,25 - 45,Low,Male,1,-3.0,1,0,0,0
350,30,M,African-American,25 - 45,High,Male,11,-1.0,9,1,1,1
351,28,F,Caucasian,25 - 45,Medium,Male,1,0.0,5,0,0,0
354,22,F,African-American,Less than 25,Low,Male,0,-1.0,4,0,0,0
355,30,F,African-American,25 - 45,Low,Male,4,0.0,2,0,0,0
356,25,F,Hispanic,25 - 45,Low,Male,4,0.0,4,0,0,0
357,31,F,Caucasian,25 - 45,High,Male,0,-1.0,8,1,1,1
358,37,F,Caucasian,25 - 45,Low,Male,0,-1.0,2,1,1,1
359,32,F,African-American,25 - 45,High,Male,14,-1.0,9,0,0,0
361,53,M,Caucasian,Greater than 45,Low,Male,1,-1.0,1,0,0,0
362,28,F,African-American,25 - 45,High,Male,25,29.0,8,1,1,1
363,44,M,Caucasian,25 - 45,Medium,Male,8,-1.0,5,1,1,1
364,25,F,African-American,25 - 45,Low,Male,0,0.0,3,0,0,0
366,22,M,Caucasian,Less than 25,High,Male,1,0.0,8,1,1,1
369,37,M,Other,25 - 45,Low,Female,0,-1.0,1,0,0,0
372,40,F,Other,25 - 45,Low,Female,3,-1.0,2,0,0,0
379,31,M,Hispanic,25 - 45,Low,Female,0,-1.0,2,0,0,0
381,23,F,Hispanic,Less than 25,Medium,Male,1,-1.0,6,1,1,1
382,23,F,Caucasian,Less than 25,Medium,Female,5,-1.0,5,1,1,1
383,24,M,Hispanic,Less than 25,High,Male,0,-3.0,8,0,0,0
384,29,M,African-American,25 - 45,Low,Male,1,-1.0,3,0,0,0
385,20,F,African-American,Less than 25,High,Male,1,-1.0,8,1,1,1
386,30,F,African-American,25 - 45,Medium,Male,2,-1.0,6,1,1,1
389,39,F,Other,25 - 45,Low,Male,0,-1.0,1,0,0,0
390,27,F,African-American,25 - 45,Low,Male,4,-1.0,4,0,0,0
393,37,F,African-American,25 - 45,Low,Female,2,0.0,1,0,0,0
396,20,F,African-American,Less than 25,High,Male,0,-1.0,8,0,0,0
398,22,F,Hispanic,Less than 25,Medium,Male,0,0.0,7,0,0,0
399,52,F,African-American,Greater than 45,Low,Female,0,-1.0,1,0,0,0
400,23,F,African-American,Less than 25,Low,Female,0,-1.0,4,1,1,1
402,48,F,African-American,Greater than 45,Low,Female,0,-1.0,2,0,0,0
404,25,F,Caucasian,25 - 45,Medium,Male,0,0.0,5,0,0,0
405,27,F,Caucasian,25 - 45,Medium,Male,0,-1.0,6,1,1,1
406,30,F,African-American,25 - 45,Medium,Male,11,0.0,7,1,1,1
407,22,M,African-American,Less than 25,High,Male,3,-1.0,10,1,1,1
408,22,F,Caucasian,Less than 25,Low,Female,1,-1.0,3,0,0,0
411,41,M,African-American,25 - 45,Low,Female,2,-1.0,3,0,0,0
414,25,F,Other,25 - 45,Low,Female,0,-1.0,2,0,0,0
416,52,F,African-American,Greater than 45,Medium,Male,3,0.0,6,1,1,1
417,43,F,African-American,25 - 45,Low,Male,0,-1.0,1,0,0,0
423,37,F,Caucasian,25 - 45,Low,Male,3,-4.0,1,0,0,0
425,70,M,Caucasian,Greater than 45,Low,Male,1,-13.0,1,0,0,0
428,46,F,Caucasian,Greater than 45,Low,Male,3,-1.0,4,0,0,0
429,21,M,African-American,Less than 25,High,Male,0,-1.0,9,1,1,1
430,26,M,African-American,25 - 45,High,Male,1,-1.0,8,1,1,1
431,38,F,Hispanic,25 - 45,Low,Male,3,23.0,1,1,1,1
432,34,M,Caucasian,25 - 45,Low,Male,5,-1.0,4,0,0,0
435,34,M,African-American,25 - 45,Low,Male,5,-1.0,4,0,0,0
437,23,F,Caucasian,Less than 25,Medium,Male,0,0.0,5,1,1,1
438,34,F,African-American,25 - 45,Low,Male,5,-1.0,4,1,1,1
440,39,F,African-American,25 - 45,Low,Male,6,-1.0,3,1,1,1
441,24,F,Other,Less than 25,Low,Male,0,-1.0,3,0,0,0
445,58,F,Caucasian,Greater than 45,Low,Male,2,-1.0,3,0,0,0
446,21,M,African-American,Less than 25,Medium,Female,0,0.0,6,0,0,0
451,23,M,African-American,Less than 25,High,Male,4,-11.0,8,1,1,1
452,62,F,Caucasian,Greater than 45,Low,Male,0,0.0,1,0,0,0
456,37,F,Caucasian,25 - 45,Low,Male,5,-1.0,3,0,0,0
457,43,F,Other,25 - 45,Low,Male,2,-1.0,2,1,1,1
459,32,F,African-American,25 - 45,Low,Female,5,0.0,1,0,0,0
461,23,F,Hispanic,Less than 25,Low,Male,0,-1.0,3,0,0,0
462,27,M,African-American,25 - 45,Low,Male,0,0.0,1,0,0,0
463,44,M,Caucasian,25 - 45,Low,Male,0,-1.0,1,1,1,1
464,28,M,Caucasian,25 - 45,Low,Male,3,-1.0,3,1,1,1
465,42,F,Caucasian,25 - 45,Low,Female,0,-3.0,2,0,0,0
467,24,F,Other,Less than 25,High,Male,9,-1.0,10,1,1,1
468,27,F,African-American,25 - 45,Low,Male,0,0.0,2,0,0,0
469,20,F,African-American,Less than 25,High,Male,0,-1.0,10,1,1,1
474,51,M,Caucasian,Greater than 45,Low,Female,0,0.0,1,0,0,0
475,56,M,Caucasian,Greater than 45,Low,Male,0,0.0,1,0,0,0
478,29,F,African-American,25 - 45,High,Male,7,-1.0,9,0,0,0
480,20,F,African-American,Less than 25,High,Male,0,-1.0,9,1,1,1
484,27,F,Caucasian,25 - 45,Medium,Male,8,-1.0,5,0,0,0
485,24,F,African-American,Less than 25,High,Male,2,-1.0,9,1,1,1
487,53,F,Caucasian,Greater than 45,Medium,Male,36,-7.0,6,1,1,1
489,28,M,Caucasian,25 - 45,Low,Male,2,0.0,3,1,1,1
494,21,F,Hispanic,Less than 25,Medium,Male,3,-22.0,5,1,0,0
495,36,F,African-American,25 - 45,Medium,Female,0,-1.0,7,0,0,0
496,25,M,Caucasian,25 - 45,Low,Female,2,-2.0,4,1,1,1
497,23,M,Hispanic,Less than 25,Low,Female,1,0.0,3,1,0,0
499,28,F,Caucasian,25 - 45,Medium,Male,1,-4.0,5,0,0,0
500,21,F,African-American,Less than 25,High,Female,0,-1.0,8,1,1,1
501,36,M,Caucasian,25 - 45,Low,Male,0,-1.0,3,0,0,0
502,24,F,African-American,Less than 25,Low,Male,0,-1.0,3,0,0,0
504,30,F,Other,25 - 45,Low,Male,1,-1.0,2,1,1,1
505,29,F,African-American,25 - 45,Low,Male,0,-1.0,1,0,0,0
509,30,M,Caucasian,25 - 45,Medium,Female,0,0.0,6,0,0,0
510,51,M,Hispanic,Greater than 45,Low,Male,1,-1.0,1,0,0,0
516,32,F,African-American,25 - 45,High,Male,12,-1.0,9,1,1,1
517,23,F,African-American,Less than 25,Medium,Male,1,0.0,6,0,0,0
518,47,F,African-American,Greater than 45,Low,Male,3,0.0,3,0,0,0
522,37,F,Caucasian,25 - 45,Low,Male,0,-1.0,1,0,0,0
523,19,F,African-American,Less than 25,High,Male,2,-1.0,10,1,1,1
524,27,M,Hispanic,25 - 45,High,Male,0,-1.0,8,0,0,0
525,39,M,Other,25 - 45,Low,Male,0,-1.0,1,0,0,0
526,21,F,Caucasian,Less than 25,Medium,Female,0,0.0,6,0,0,0
527,69,M,Caucasian,Greater than 45,Low,Male,0,-1.0,1,0,0,0
530,21,F,Caucasian,Less than 25,Medium,Male,2,-1.0,6,0,0,0
531,26,M,African-American,25 - 45,High,Male,6,0.0,10,1,1,1
532,22,F,Caucasian,Less than 25,Low,Male,0,-2.0,4,0,0,0
533,23,F,African-American,Less than 25,Medium,Female,0,-1.0,5,1,1,1
537,49,F,African-American,Greater than 45,Medium,Male,3,0.0,5,0,0,0
538,29,M,African-American,25 - 45,Low,Male,2,-1.0,4,1,0,0
540,60,M,Caucasian,Greater than 45,Low,Female,0,-1.0,1,0,0,0
542,23,F,African-American,Less than 25,High,Male,3,0.0,10,1,1,1
545,20,F,Other,Less than 25,Low,Female,1,-21.0,4,0,0,0
546,36,F,Hispanic,25 - 45,Low,Male,1,0.0,3,0,0,0
547,30,F,Caucasian,25 - 45,Low,Male,0,0.0,4,0,0,0
548,21,F,African-American,Less than 25,Low,Male,1,-1.0,3,1,0,0
552,22,M,Caucasian,Less than 25,Medium,Male,2,-1.0,6,1,1,1
557,21,F,African-American,Less than 25,High,Male,4,-1.0,9,1,1,1
558,21,F,African-American,Less than 25,Medium,Male,0,-1.0,5,1,1,1
561,34,M,Caucasian,25 - 45,Low,Male,1,0.0,1,0,0,0
563,50,M,Caucasian,Greater than 45,Low,Female,1,-1.0,1,1,1,1
565,40,F,Caucasian,25 - 45,Medium,Male,0,-1.0,7,1,1,1
566,25,F,African-American,25 - 45,High,Male,7,-1.0,8,1,1,1
567,53,M,Caucasian,Greater than 45,Low,Female,1,-1.0,1,0,0,0
569,24,F,African-American,Less than 25,Low,Female,0,-1.0,4,0,0,0
572,42,F,African-American,25 - 45,Low,Male,1,-12.0,1,0,0,0
573,28,M,African-American,25 - 45,Low,Male,1,-1.0,3,0,0,0
576,26,F,African-American,25 - 45,High,Male,6,-1.0,8,1,1,1
579,22,F,African-American,Less than 25,High,Male,4,-1.0,9,1,1,1
580,21,M,Caucasian,Less than 25,Medium,Male,3,-8.0,7,0,0,0
581,37,F,African-American,25 - 45,High,Male,23,-1.0,9,1,1,1
584,35,F,African-American,25 - 45,Medium,Male,2,-1.0,5,0,0,0
586,53,F,African-American,Greater than 45,Low,Male,2,-1.0,1,0,0,0
588,29,F,African-American,25 - 45,Low,Male,7,-1.0,4,1,0,0
590,48,F,Caucasian,Greater than 45,High,Male,23,-1.0,8,1,1,1
594,52,M,Caucasian,Greater than 45,Low,Female,0,0.0,1,0,0,0
597,27,F,African-American,25 - 45,High,Male,12,-1.0,8,1,1,1
598,28,F,African-American,25 - 45,High,Male,5,0.0,9,1,0,0
599,33,M,Caucasian,25 - 45,Low,Male,3,0.0,3,0,0,0
600,28,F,Hispanic,25 - 45,Low,Female,0,-1.0,2,0,0,0
602,36,F,African-American,25 - 45,Medium,Male,14,-1.0,7,1,1,1
603,29,F,African-American,25 - 45,Medium,Male,2,-1.0,5,0,0,0
604,22,M,African-American,Less than 25,High,Male,0,0.0,9,1,1,1
608,25,F,Caucasian,25 - 45,Low,Male,0,0.0,2,0,0,0
611,56,F,African-American,Greater than 45,Low,Male,5,-1.0,3,0,0,0
612,27,F,African-American,25 - 45,High,Male,9,-1.0,8,1,1,1
613,52,F,Caucasian,Greater than 45,Low,Male,4,-1.0,1,1,1,1
616,32,F,African-American,25 - 45,Low,Male,3,0.0,2,0,0,0
617,60,F,Other,Greater than 45,Low,Male,4,-1.0,1,0,0,0
621,23,M,Hispanic,Less than 25,Low,Male,1,-5.0,3,0,0,0
622,39,M,Caucasian,25 - 45,Medium,Female,0,-2.0,6,0,0,0
623,56,M,Caucasian,Greater than 45,Low,Male,0,-1.0,1,0,0,0
624,22,F,African-American,Less than 25,Medium,Female,0,0.0,7,0,0,0
627,53,F,African-American,Greater than 45,Medium,Male,11,-1.0,6,0,0,0
628,25,M,Caucasian,25 - 45,Low,Male,0,0.0,2,1,1,1
629,21,M,Hispanic,Less than 25,Low,Male,0,0.0,3,0,0,0
630,22,F,Caucasian,Less than 25,Low,Male,0,-1.0,3,0,0,0
633,58,M,Caucasian,Greater than 45,Low,Female,2,-23.0,1,0,0,0
635,31,M,African-American,25 - 45,Low,Male,7,0.0,3,1,1,1
637,22,F,Caucasian,Less than 25,Medium,Male,1,-1.0,5,1,1,1
638,28,F,African-American,25 - 45,Medium,Male,8,-1.0,6,1,1,1
639,42,F,Other,25 - 45,Low,Male,1,-1.0,1,0,0,0
640,20,F,African-American,Less than 25,Medium,Male,0,0.0,7,1,1,1
641,29,M,Caucasian,25 - 45,Medium,Male,0,0.0,6,1,1,1
644,58,M,African-American,Greater than 45,Medium,Male,21,-1.0,7,1,1,1
645,22,F,African-American,Less than 25,Medium,Male,3,-1.0,7,0,0,0
646,48,M,Hispanic,Greater than 45,Low,Male,1,0.0,1,1,1,1
647,37,F,Caucasian,25 - 45,Low,Male,0,0.0,4,0,0,0
648,57,F,African-American,Greater than 45,Medium,Male,1,-1.0,5,1,1,1
649,27,M,Caucasian,25 - 45,Low,Male,3,-22.0,1,0,0,0
651,26,F,African-American,25 - 45,Low,Male,3,0.0,4,0,0,0
653,24,F,Caucasian,Less than 25,High,Male,3,0.0,8,1,1,1
654,33,F,Caucasian,25 - 45,Low,Male,0,-1.0,1,0,0,0
656,29,F,African-American,25 - 45,Medium,Male,2,-1.0,6,0,0,0
657,24,F,African-American,Less than 25,High,Female,3,-1.0,10,1,1,1
659,19,F,Caucasian,Less than 25,High,Male,1,-1.0,10,1,1,1
